현장명	ID_SITE	전기요금	분석일수	MV5수량	MVS수량	실내기수량	로직버전	절감사용량(Kwh)	비절감절감량(Kwh)	절감량(Kwh)	절감금액(원)	비절감금액(원)	절감비용(원)	월	연도	그룹구분	컨텐츠 구분	절감률	규모 구분	업종구분
한전_효광	10001867	산업용전력(을) 고압A 선택II	31	7		39	1	12859	14358	1499	1949788	2156647	206859	1	2025	광탈	절감	10.4%	중소형	공장
한전_원주남부시장	10002174	산업용전력(을) 고압A 선택II	31	12		80	1	41560	41973	413	7593693	7671350	77657	1	2025	광탈	절감	1.0%	중형	빌딩
패스트파이브 강남3호점 14호점	10008983	산업용전력(을) 고압A 선택II	31	8		116	1	24281	25135	854	4049367	4188451	139084	1	2025	1그룹	절감	3.4%	대형	빌딩
H한전_아이엠재활병원(저층부)	10009172	산업용전력(을) 고압A 선택II	31	13		131	1	41587	43498	1911	6354091	6639476	285385	1	2025	1그룹	절감	4.4%	대형	병원
H한전_양산제일병원	10009537	산업용전력(을) 고압A 선택II	12	8		127	1	12677	12977	300	1806895	1851387	44492	1	2025	1그룹	절감	2.3%	대형	병원
H한전_MS재건병원	10009579	산업용전력(을) 고압A 선택II	31	14		186	1	58105	65454	7349	8410384	9505885	1095501	1	2025	광탈	절감	11.2%	대형	병원
한전_AK프라자	10009750	산업용전력(을) 고압A 선택II	31	6		22	1	1611	2119	508	277463	362267	84804	1	2025	광탈	절감	24.0%	소형	빌딩
H_패스트파이브 시청1호점	10009827	산업용전력(을) 고압A 선택II	31	10		218	1	38813	38142	-671	6434533	6328115	-106418	1	2025	1그룹	절감	-1.8%	대형	빌딩
패스트파이브 서울숲점	10010205	산업용전력(을) 고압A 선택II	31	16		230	1	45894	49977	4083	7137403	7770215	632812	1	2025	1그룹	절감	8.2%	대형	빌딩
패스트파이브 을지로점	10010206	산업용전력(을) 고압A 선택II	31	6		100	1	9646	9890	244	1567350	1609469	42119	1	2025	1그룹	절감	2.5%	대형	빌딩
판도라 호텔	10010438	산업용전력(을) 고압A 선택II	31	9		90	1	3046	3013	-33	426301	421809	-4492	1	2025	1그룹	절감	-1.1%	중형	숙박업
